srcip,srcport,dstip,dstport,proto,total_fpackets,total_fvolume,total_bpackets,total_bvolume,min_fpktl,mean_fpktl,max_fpktl,std_fpktl,min_bpktl,mean_bpktl,max_bpktl,std_bpktl,min_fiat,mean_fiat,max_fiat,std_fiat,min_biat,mean_biat,max_biat,std_biat,duration,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,sflow_fpackets,sflow_fbytes,sflow_bpackets,sflow_bbytes,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,dscp,classe
192.168.0.75,35974,216.58.222.78,443,6,9,2242,6,587,52,249,842,275,52,97,212,62,1526,13676,51420,18192,854,20181,50773,19305,128552,128552,128552,128552,0,0,0,0,0,9,2242,6,587,6,3,0,0,476,320,0,0
192.168.0.75,57308,172.217.162.161,443,6,2,112,1,60,52,56,60,5,60,60,60,0,102745,102745,102745,0,0,0,0,0,102745,102745,102745,102745,0,0,0,0,0,2,112,1,60,0,0,0,0,112,60,0,0
192.168.0.75,57304,172.217.162.161,443,6,14,2013,10,1072,52,143,569,157,52,107,245,68,20,27012,170297,46064,22,39562,208114,65897,378515,378515,378515,378515,0,0,0,0,0,14,2013,10,1072,7,6,0,0,736,528,0,0
192.168.0.75,42592,187.122.188.115,53,17,1,61,1,307,61,61,61,0,307,307,307,0,0,0,0,0,0,0,0,0,13796,13796,13796,13796,0,0,0,0,0,1,61,1,307,0,0,0,0,61,307,0,0
192.168.0.75,35976,216.58.222.78,443,6,2,112,1,60,52,56,60,5,60,60,60,0,22755,22755,22755,0,0,0,0,0,22755,22755,22755,22755,0,0,0,0,0,2,112,1,60,0,0,0,0,112,60,0,0
192.168.0.75,42592,187.122.188.112,53,17,6,380,1,207,61,63,66,2,207,207,207,0,114,1605,7501,3295,0,0,0,0,12299,12299,12299,12299,0,0,0,0,0,6,380,1,207,0,0,0,0,380,207,0,0
192.168.0.75,44074,172.217.30.68,443,6,27,3262,48,8200,52,120,314,89,52,170,1184,192,17,39039,114547,43639,3,21727,78630,29453,1039714,1039714,1039714,1039714,0,0,0,0,0,27,3262,48,8200,15,33,0,0,1416,2496,0,0
216.58.222.78,443,192.168.0.75,35974,6,5,1563,5,306,52,312,883,328,52,61,98,20,21,9653,38508,19236,22,5532,22042,11006,38615,38615,38615,38615,0,0,0,0,0,5,1563,5,306,4,1,0,0,260,260,0,0
192.168.0.75,68,192.168.0.1,67,17,1,328,0,0,328,328,328,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,328,0,0,0,0,0,0,328,0,0,0
192.168.0.75,39090,172.217.29.33,443,6,21,2520,17,7609,52,120,412,98,52,447,2888,764,34,52076,474811,107341,5,64401,529620,130017,1066861,1066861,1066861,1066861,0,0,0,0,0,21,2520,17,7609,11,10,0,0,1112,892,0,0
192.168.0.75,56882,216.58.202.238,443,6,2,112,1,60,52,56,60,5,60,60,60,0,21755,21755,21755,0,0,0,0,0,21755,21755,21755,21755,0,0,0,0,0,2,112,1,60,0,0,0,0,112,60,0,0
192.168.0.75,34880,216.58.202.227,443,6,1,52,1,52,52,52,52,0,52,52,52,0,0,0,0,0,0,0,0,0,19133,19133,19133,19133,0,0,0,0,0,1,52,1,52,0,0,0,0,52,52,0,0
192.168.0.75,58918,216.58.202.67,443,6,8,865,7,4284,52,108,281,101,52,612,1470,645,692,29918,80969,34194,15,21712,44398,23254,209428,209428,209428,209428,0,0,0,0,0,8,865,7,4284,2,2,0,0,424,372,0,0
192.168.0.10,68,255.255.255.255,67,17,1,336,0,0,336,336,336,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,336,0,0,0,0,0,0,336,0,0,0
192.168.0.75,56796,172.217.29.54,443,6,2,112,1,60,52,56,60,5,60,60,60,0,21728,21728,21728,0,0,0,0,0,21728,21728,21728,21728,0,0,0,0,0,2,112,1,60,0,0,0,0,112,60,0,0
192.168.0.75,56784,172.217.29.54,443,6,8,871,8,3863,52,108,281,99,52,482,2888,977,869,31691,78185,32074,12,28098,61418,28904,221841,221841,221841,221841,0,0,0,0,0,8,871,8,3863,2,4,0,0,436,424,0,0
192.168.0.75,49068,216.58.222.74,443,6,17,1837,14,5987,52,108,364,98,52,427,2888,761,36,52583,550749,135750,20,62655,574617,155560,841332,841332,841332,841332,0,0,0,0,0,17,1837,14,5987,6,9,0,0,904,736,0,0
88.99.142.163,443,192.168.0.75,54936,6,2,135,1,87,52,67,83,21,87,87,87,0,223124,223124,223124,0,0,0,0,0,223124,223124,223124,223124,0,0,0,0,0,2,135,1,87,1,1,0,0,104,52,0,0
